productId,name,category,position,totalScore,organicScore,topBlocked,eligibility,topFactor,topFactorPoints
LAB1000-0127,Конструктор LAB-0127,Авто,1,70.4,67,false,ELIGIBLE,Фото,5.9
LAB1000-0757,Смарт-часы LAB-0757,Авто,2,67.2,64,false,ELIGIBLE,Фото,6.2
LAB1000-0396,Пылесос LAB-0396,Красота,3,67,67,false,ELIGIBLE,Фото,4.8
LAB1000-0244,Мяч футбольный LAB-0244,Одежда,4,65.1,62,false,ELIGIBLE,Фото,5.7
LAB1000-0478,Оливковое масло LAB-0478,Детские товары,5,65.1,62,false,ELIGIBLE,Отзывы,3.4
LAB1000-0838,Наушники LAB-0838,Детские товары,6,65.1,62,false,ELIGIBLE,CTR,-6.1
LAB1000-0865,Наушники LAB-0865,Спорт,7,65.1,62,false,ELIGIBLE,Отзывы,3.4
LAB1000-0159,Автомагнитола LAB-0159,Продукты,8,65,65,false,ELIGIBLE,Доверие,3.7
LAB1000-0678,Крем для лица LAB-0678,Детские товары,9,65,65,false,ELIGIBLE,Фото,5.3
LAB1000-0767,Автомагнитола LAB-0767,Авто,10,65,65,false,ELIGIBLE,Фото,4.8
LAB1000-0100,Конструктор LAB-0100,Сад,11,64.1,61,false,ELIGIBLE,Фото,5.7
LAB1000-0793,Садовый шланг LAB-0793,Дом и сад,12,64.1,61,false,ELIGIBLE,Фото,5.7
LAB1000-0016,Конструктор LAB-0016,Красота,13,64,64,false,ELIGIBLE,Доверие,4.4
LAB1000-0321,Конструктор LAB-0321,Инструменты,14,64,64,false,ELIGIBLE,Фото,5.3
LAB1000-0684,Крем для лица LAB-0684,Одежда,15,64,64,false,ELIGIBLE,Фото,5.3
LAB1000-0098,Оливковое масло LAB-0098,Детские товары,16,63,63,false,ELIGIBLE,Фото,6.2
LAB1000-0103,Автомагнитола LAB-0103,Дом и сад,17,63,63,false,ELIGIBLE,Доверие,3.5
LAB1000-0117,Наушники LAB-0117,Авто,18,63,63,false,ELIGIBLE,Фото,5.3
LAB1000-0190,Кроссовки LAB-0190,Сад,19,63,60,false,ELIGIBLE,CTR,-4.3
LAB1000-0193,Рюкзак LAB-0193,Дом и сад,20,63,63,false,ELIGIBLE,Фото,6.2
LAB1000-0226,Дрель LAB-0226,Красота,21,63,60,false,ELIGIBLE,Фото,5.3
LAB1000-0324,Куртка LAB-0324,Одежда,22,63,63,false,ELIGIBLE,Фото,6.2
LAB1000-0432,Автомагнитола LAB-0432,Электроника,23,63,63,false,ELIGIBLE,Доверие,4.7
LAB1000-0435,Мяч футбольный LAB-0435,Спорт,24,63,63,false,ELIGIBLE,Фото,5.3
LAB1000-0511,Кроссовки LAB-0511,Инструменты,25,63,63,false,ELIGIBLE,Фото,5.3
LAB1000-0536,Кофемашина LAB-0536,Красота,26,63,63,false,ELIGIBLE,Фото,6.2
LAB1000-0545,Куртка LAB-0545,Спорт,27,63,63,false,ELIGIBLE,Фото,5
LAB1000-0577,Мяч футбольный LAB-0577,Авто,28,63,60,false,ELIGIBLE,Фото,5.4
LAB1000-0579,Шуруповёрт LAB-0579,Продукты,29,63,63,false,ELIGIBLE,CTR,-5.9
LAB1000-0682,Наушники LAB-0682,Электроника,30,63,63,false,ELIGIBLE,Фото,4.4
LAB1000-0956,Кроссовки LAB-0956,Красота,31,63,63,false,ELIGIBLE,Фото,5.9
LAB1000-0971,Садовый шланг LAB-0971,Инструменты,32,63,63,false,ELIGIBLE,Фото,4.1
LAB1000-0008,Наушники LAB-0008,Детские товары,33,62,62,false,ELIGIBLE,Фото,6.2
LAB1000-0202,Оливковое масло LAB-0202,Электроника,34,62,62,false,ELIGIBLE,Фото,5.3
LAB1000-0228,Дрель LAB-0228,Детские товары,35,62,62,false,ELIGIBLE,Доверие,4.2
